City_ID,City_ID,City,Country,Lat,Long,Max temp,Humidity,Cloudness,Wind S,Current Description,Hotel Name
6,6,Tiksi,RU,71.6872,128.8694,11.03,95,100,3.71,overcast clouds,Arktika
25,25,Yarkovo,RU,57.4028,67.0786,32.58,97,100,8.14,overcast clouds,Тобол
31,31,Cherskiy,RU,68.75,161.3,-19.03,99,10,5.46,clear sky,Gostinitsa
39,39,Leningradskiy,RU,69.3833,178.4167,9.7,93,100,21.5,light snow,Gostinitsa
47,47,Khatanga,RU,71.9667,102.5,7.34,90,100,10.33,overcast clouds,"Gostinitsa ""Zapolyar'ye"""
49,49,Pevek,RU,69.7008,170.3133,10.35,94,100,13.29,light snow,Severnoye Zoloto
67,67,Qaanaaq,GL,77.484,-69.3632,20.17,94,100,10.38,overcast clouds,Qaanaaq Hotel
80,80,Pangnirtung,CA,66.1451,-65.7125,32.0,74,75,14.97,broken clouds,Kilabuk Lodge
84,84,Fort Nelson,CA,58.8053,-122.7002,31.59,93,90,2.3,mist,The Fort Nelson Hotel
92,92,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,3.44,overcast clouds,End of The Road Ltd.
100,100,Mehamn,NO,71.0357,27.8492,33.98,65,89,15.84,overcast clouds,Mehamn Arctic Hotel AS
107,107,Haines Junction,CA,60.7522,-137.5108,24.75,93,100,3.44,overcast clouds,Parkside Inn
110,110,Anadyr,RU,64.75,177.4833,-7.01,76,0,4.0,clear sky,Отке17 — посуточная аренда жилья для командированных
117,117,Batagay,RU,67.6333,134.6333,11.84,95,100,3.91,overcast clouds,Gostinitsa Ki'ileekh
138,138,Iqaluit,CA,63.7506,-68.5145,28.13,92,75,0.0,broken clouds,Frobisher Inn
140,140,Tazovskiy,RU,67.4667,78.7,7.74,94,99,9.17,overcast clouds,TazHostel
153,153,Longyearbyen,SJ,78.2186,15.6401,19.24,63,0,8.05,clear sky,"Radisson Blu Polar Hotel, Spitsbergen"
161,161,Narsaq,GL,60.9167,-46.05,30.42,61,0,4.41,clear sky,Sleep In Narsaq
166,166,Fairbanks,US,64.8378,-147.7164,27.23,91,90,4.61,light snow,Westmark Fairbanks Hotel & Conference Center
168,168,Barrow,US,71.2906,-156.7887,21.22,86,90,9.22,overcast clouds,King Eider Inn
174,174,Upernavik,GL,72.7868,-56.1549,23.56,60,100,5.03,overcast clouds,Gina's Guesthouse - Upernavik
186,186,Havoysund,NO,70.9963,24.6622,34.03,74,44,25.88,scattered clouds,Arctic View Glamping & Restaurant
204,204,Kargasok,RU,59.0556,80.8572,25.74,79,7,11.23,clear sky,Hotel Kargasok
205,205,Vardo,NO,70.3705,31.1107,34.0,86,40,26.46,scattered clouds,Vardø Hotel AS
